NO:1 is    1 ,   5 ,   8 ,   6 ,   3 ,   7 ,   2 ,   4 ,
NO:2 is    1 ,   6 ,   8 ,   3 ,   7 ,   4 ,   2 ,   5 ,
NO:3 is    1 ,   7 ,   4 ,   6 ,   8 ,   2 ,   5 ,   3 ,
NO:4 is    1 ,   7 ,   5 ,   8 ,   2 ,   4 ,   6 ,   3 ,
NO:5 is    2 ,   4 ,   6 ,   8 ,   3 ,   1 ,   7 ,   5 ,
NO:6 is    2 ,   5 ,   7 ,   1 ,   3 ,   8 ,   6 ,   4 ,
NO:7 is    2 ,   5 ,   7 ,   4 ,   1 ,   8 ,   6 ,   3 ,
NO:8 is    2 ,   6 ,   1 ,   7 ,   4 ,   8 ,   3 ,   5 ,
NO:9 is    2 ,   6 ,   8 ,   3 ,   1 ,   4 ,   7 ,   5 ,
NO:10 is    2 ,   7 ,   3 ,   6 ,   8 ,   5 ,   1 ,   4 ,
NO:11 is    2 ,   7 ,   5 ,   8 ,   1 ,   4 ,   6 ,   3 ,
NO:12 is    2 ,   8 ,   6 ,   1 ,   3 ,   5 ,   7 ,   4 ,
NO:13 is    3 ,   1 ,   7 ,   5 ,   8 ,   2 ,   4 ,   6 ,
NO:14 is    3 ,   5 ,   2 ,   8 ,   1 ,   7 ,   4 ,   6 ,
NO:15 is    3 ,   5 ,   2 ,   8 ,   6 ,   4 ,   7 ,   1 ,
NO:16 is    3 ,   5 ,   7 ,   1 ,   4 ,   2 ,   8 ,   6 ,
NO:17 is    3 ,   5 ,   8 ,   4 ,   1 ,   7 ,   2 ,   6 ,
NO:18 is    3 ,   6 ,   2 ,   5 ,   8 ,   1 ,   7 ,   4 ,
NO:19 is    3 ,   6 ,   2 ,   7 ,   1 ,   4 ,   8 ,   5 ,
NO:20 is    3 ,   6 ,   2 ,   7 ,   5 ,   1 ,   8 ,   4 ,
NO:21 is    3 ,   6 ,   4 ,   1 ,   8 ,   5 ,   7 ,   2 ,
NO:22 is    3 ,   6 ,   4 ,   2 ,   8 ,   5 ,   7 ,   1 ,
NO:23 is    3 ,   6 ,   8 ,   1 ,   4 ,   7 ,   5 ,   2 ,
